name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
Song of India,['Tommy Dorsey'],186960.0,0.935,0.41,0.23,0.888,0.427,-12.827,0.0602,174.066,0.634,1,5,21,0,1925-01-01,presto,medium
Boogie Woogie,['Tommy Dorsey'],189787.0,0.852,0.689,0.222,0.924,0.104,-15.98,0.127,145.205,0.917,1,5,20,0,1925-01-01,presto,medium
"Yes, Indeed!","['Tommy Dorsey', 'Sy Oliver', 'Jo Stafford']",209987.0,0.945,0.804,0.217,0.0687,0.0849,-12.118,0.0602,131.117,0.498,1,0,18,0,1925-01-01,presto,medium
Droppin' Shucks,['Louis Armstrong & His Hot Five'],170533.0,0.993,0.583,0.288,0.109,0.206,-9.204,0.123,177.647,0.768,1,5,12,0,1925-01-01,presto,short
Heebie Jeebies,['Louis Armstrong & His Hot Five'],171800.0,0.983,0.671,0.324,8.34E-5,0.143,-10.637,0.106,164.628,0.57,1,8,10,0,1925-01-01,presto,short
Stormy Weather (Keeps Rainin' All The Time) - 78rpm Version,['Ethel Waters'],185840.0,0.954,0.35,0.213,0.0,0.254,-12.808,0.0399,85.369,0.43,1,0,14,0,1925-01-01,lento,medium
Don't Forget To Mess Around,['Louis Armstrong & His Hot Five'],181933.0,0.992,0.631,0.347,0.0136,0.0889,-11.102,0.0601,101.803,0.784,0,5,9,0,1925-01-01,moderato,medium
My Melancholy Baby,['The Dorsey Brothers'],180960.0,0.968,0.731,0.341,0.138,0.212,-9.87,0.146,101.408,0.852,1,3,11,0,1925-01-01,moderato,medium
The King of the Zulus,['Louis Armstrong & His Hot Five'],182773.0,0.994,0.595,0.257,0.335,0.411,-9.774,0.215,166.855,0.565,1,2,8,0,1925-01-01,presto,medium
My Heart,['Louis Armstrong & His Hot Five'],142893.0,0.985,0.692,0.467,0.0965,0.091,-7.237,0.0897,97.858,0.827,0,0,8,0,1925-01-01,moderato,short
Yes! I'm in the Barrel,['Louis Armstrong & His Hot Five'],156000.0,0.995,0.751,0.282,7.78E-4,0.106,-9.918,0.0697,154.265,0.77,1,5,7,0,1925-01-01,presto,short
Oriental Strut,['Louis Armstrong & His Hot Five'],179333.0,0.995,0.541,0.258,0.614,0.16,-11.838,0.0865,183.702,0.451,1,5,7,0,1925-01-01,presto,short
You're Next,['Louis Armstrong & His Hot Five'],194627.0,0.985,0.625,0.223,0.0255,0.111,-11.825,0.0577,125.495,0.495,1,8,6,0,1925-01-01,presto,medium
Harlem On My Mind,['Ethel Waters'],209000.0,0.962,0.568,0.112,0.0,0.327,-13.026,0.0747,95.221,0.489,1,1,11,0,1925-01-01,moderato,medium
Hawaiian War Chant,['Tommy Dorsey'],190120.0,0.849,0.694,0.363,0.552,0.103,-11.692,0.103,101.726,0.809,1,10,9,0,1925-01-01,moderato,medium
Gut Bucket Blues,['Louis Armstrong & His Hot Five'],159933.0,0.988,0.573,0.295,1.39E-4,0.0784,-10.096,0.0525,146.336,0.678,1,5,6,0,1925-01-01,presto,short
Georgia Grind,['Louis Armstrong & His Hot Five'],151600.0,0.897,0.73,0.213,0.0,0.152,-14.635,0.0554,140.34,0.706,1,8,6,0,1925-01-01,presto,short
I'll Never Smile Again,['Tommy Dorsey'],192027.0,0.991,0.345,0.127,1.33E-4,0.72,-17.475,0.0372,71.003,0.209,1,0,7,0,1925-01-01,lento,medium
Cornet Chop Suey,['Louis Armstrong & His Hot Five'],175067.0,0.995,0.622,0.287,0.163,0.0671,-9.342,0.153,94.987,0.751,1,5,6,0,1925-01-01,moderato,short
(What Did I Do To Be So) Black and Blue?,['Ethel Waters'],178293.0,0.954,0.7,0.197,0.0,0.361,-11.915,0.136,120.542,0.56,1,2,7,0,1925-01-01,presto,short
Who'sit,['Louis Armstrong & His Hot Five'],163640.0,0.993,0.724,0.335,0.71,0.0691,-10.4,0.0411,106.338,0.867,1,0,4,0,1925-01-01,moderato,short
Big Fat Ma and Skinny Pa,['Louis Armstrong & His Hot Five'],178040.0,0.995,0.596,0.341,0.0929,0.69,-10.838,0.271,170.338,0.786,1,3,4,0,1925-01-01,presto,short
I'm Gonna Gitcha,['Louis Armstrong & His Hot Five'],162600.0,0.949,0.551,0.343,2.44E-5,0.158,-11.366,0.118,203.051,0.913,0,2,5,0,1925-01-01,presto,short
Head Over Heels in Love,"['Tommy Dorsey', 'Edythe Wright']",164107.0,0.85,0.668,0.288,0.25,0.155,-14.088,0.0747,95.922,0.954,1,5,5,0,1925-01-01,moderato,short
Gut Bucket Blues,['Louis Armstrong & His Hot Five'],168400.0,0.996,0.618,0.141,0.91,0.115,-17.2,0.113,138.691,0.759,1,11,5,0,1925-01-01,presto,short
Cherry,['The Big Aces'],192893.0,0.988,0.538,0.333,0.158,0.139,-10.38,0.0764,174.542,0.603,0,0,6,0,1925-01-01,presto,medium
Jazz Lips,['Louis Armstrong & His Hot Five'],179667.0,0.938,0.801,0.341,0.15,0.15,-12.395,0.0927,107.101,0.962,1,5,3,0,1925-01-01,moderato,short
Skid-Dat-De-Dat,['Louis Armstrong & His Hot Five'],182400.0,0.97,0.672,0.146,0.0182,0.101,-13.417,0.0472,122.127,0.607,1,0,4,0,1925-01-01,presto,medium
Sweet Little Papa,['Louis Armstrong & His Hot Five'],163133.0,0.989,0.597,0.337,0.842,0.106,-10.079,0.136,187.665,0.9,1,5,4,0,1925-01-01,presto,short
At The Fat Man's,['Tommy Dorsey'],190560.0,0.915,0.617,0.435,0.00405,0.15,-8.284,0.0466,154.89,0.704,1,8,5,0,1925-01-01,presto,medium
Lullaby Of The Leaves,['Connie Boswell'],189440.0,0.992,0.376,0.104,8.15E-6,0.159,-16.626,0.0488,90.542,0.202,1,2,5,0,1925-01-01,moderato,medium
"\"Dusting The Donkey - aka \"\"The Pay-Off\"\"\"",['The Golden Gate Orchestra'],181320.0,0.996,0.797,0.449,0.895,0.182,-12.592,0.0826,113.216,0.902,1,0,5,0,1925-01-01,moderato,medium
How Deep Is the Ocean?,['Bing Crosby'],192627.0,0.983,0.326,0.117,6.32E-6,0.674,-13.753,0.0446,92.875,0.259,1,6,4,0,1925-01-01,moderato,medium
It Won't Be Long Now,['Paul Whiteman & His Orchestra'],195067.0,0.963,0.552,0.266,0.0152,0.432,-11.338,0.142,157.758,0.494,1,5,5,0,1925-01-01,presto,medium
It's Right Here For You,['Tom Dorsey'],189827.0,0.84,0.724,0.324,0.872,0.0991,-9.842,0.0631,94.042,0.674,1,0,5,0,1925-01-01,moderato,medium
Lonesome Blues,['Louis Armstrong & His Hot Five'],182227.0,0.987,0.594,0.188,0.0,0.104,-12.796,0.0406,83.759,0.294,1,10,4,0,1925-01-01,lento,medium
Sentimental Gentleman From Georgia,['The Boswell Sisters'],184707.0,0.956,0.668,0.132,4.84E-6,0.0776,-12.561,0.094,122.527,0.733,0,4,5,0,1925-01-01,presto,medium
March Of The Toys,['Tommy Dorsey'],212533.0,0.901,0.558,0.58,0.915,0.326,-9.065,0.121,177.79,0.823,0,9,3,0,1925-01-01,presto,medium
Dippermouth Blues (feat. Jimmy Dorsey),"['Tommy Dorsey', 'Jimmy Dorsey']",174400.0,0.736,0.464,0.867,0.543,0.386,-7.986,0.135,119.664,0.497,0,0,3,0,1925-01-01,moderato,short
Easy Does It,['Tommy Dorsey'],239133.0,0.81,0.526,0.428,0.86,0.785,-10.731,0.317,176.681,0.784,1,8,3,0,1925-01-01,presto,medium
Vol Vistu Gaily Star,['Tommy Dorsey & His Clambake Seven'],160373.0,0.718,0.787,0.502,0.105,0.0363,-10.509,0.0529,111.209,0.96,0,9,3,0,1925-01-01,moderato,short
Rhumboogie,['Tommy Dorsey'],191173.0,0.845,0.536,0.494,0.00982,0.938,-11.52,0.472,180.142,0.685,0,7,2,0,1925-01-01,presto,medium
Take The 'A' Train,['Tommy Dorsey'],306013.0,0.982,0.435,0.36,0.0105,0.946,-11.138,0.206,71.276,0.452,0,5,3,0,1925-01-01,lento,long
Breakaway,['The Travelers'],169560.0,0.959,0.934,0.609,0.889,0.0966,-9.479,0.0636,107.321,0.855,1,2,3,0,1925-01-01,moderato,short
Tonight I Shall Sleep,['Duke Ellington'],176947.0,0.975,0.183,0.141,0.833,0.119,-14.981,0.0363,81.125,0.16,1,1,4,0,1925-01-01,lento,short
