name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
Bye Bye Baby Blues,['The Judds'],179467.0,0.716,0.685,0.203,2.58E-5,0.12,-13.725,0.029,114.202,0.189,1,8,24,0,1984-10-15,moderato,short
Dynamite,['Jermaine Jackson'],362267.0,4.71E-4,0.56,0.724,0.394,0.0639,-11.256,0.0498,191.683,0.774,1,9,29,0,1984-04-14,presto,long
Fyt (Remastered),['This Mortal Coil'],263987.0,0.297,0.365,0.645,0.996,0.449,-12.989,0.0408,140.839,0.503,0,9,30,0,1984-01-01,presto,medium
You Know I'm Right,['David Gilmour'],305853.0,0.135,0.542,0.582,5.54E-4,0.527,-10.439,0.0291,110.573,0.412,1,0,25,0,1984-03-05,moderato,long
Elle a les yeux revolver,['Marc Lavoine'],216800.0,0.493,0.567,0.379,9.45E-5,0.1,-11.236,0.0566,79.958,0.5,1,5,49,0,1984-01-01,lento,medium
Dr. Wu,['Minutemen'],105640.0,0.0201,0.54,0.78,0.00125,0.155,-10.61,0.06,146.055,0.906,1,10,25,0,1984-07-24,presto,short
Te Quiero Mucho Mucho (with Juan Gabriel),"['Rocío Dúrcal', 'Juan Gabriel']",214800.0,0.428,0.836,0.245,9.78E-5,0.12,-15.488,0.0472,133.466,0.823,1,5,35,0,1984-01-01,presto,medium
I Should Have Watched That First Step,['George Strait'],177960.0,0.125,0.776,0.329,2.03E-4,0.383,-15.81,0.0308,108.778,0.518,1,9,23,0,1984-01-01,moderato,short
Fond Affections (Remastered),['This Mortal Coil'],265147.0,0.686,0.172,0.139,0.714,0.157,-17.247,0.0421,177.374,0.0616,1,2,30,0,1984-01-01,presto,medium
"The Magic Flute, Overture, K620","['Wolfgang Amadeus Mozart', 'Sir Neville Marriner', 'Academy of St. Martin in the Fields']",409760.0,0.985,0.331,0.114,0.843,0.161,-19.034,0.04,85.174,0.0709,0,0,22,0,1984-01-01,lento,long
Je te veux,"['Erik Satie', 'Pascal Rogé']",314267.0,0.994,0.396,0.0424,0.911,0.118,-25.059,0.0388,102.542,0.175,1,0,33,0,1984-01-01,moderato,long
