name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
Big Momma Thang,"\"[\"\"Lil' Kim\"\"]\"",256867.0,0.0621,0.874,0.716,1.39E-5,0.253,-5.859,0.252,95.587,0.674,0,9,53,1,1996-01-01,moderato,medium
Let Him Fly,['Patty Griffin'],191093.0,0.8,0.505,0.232,0.0,0.105,-7.75,0.035,112.348,0.425,1,2,51,0,1996-01-01,moderato,medium
Pink Triangle,['Weezer'],238600.0,0.0118,0.282,0.894,0.0,0.347,-4.834,0.0822,118.809,0.466,1,6,52,0,1996-09-24,moderato,medium
"California Love (remix) (ft. Dr. Dre, Roger Troutman)","['2Pac', 'Roger', 'Dr. Dre']",385880.0,0.00654,0.635,0.843,0.0,0.495,-4.197,0.0767,91.634,0.657,1,5,58,1,1996-01-01,moderato,long
Hero Of The Day,['Metallica'],261693.0,1.07E-4,0.351,0.9,0.0262,0.11,-7.146,0.0357,116.023,0.777,1,8,50,0,1996-06-04,moderato,medium
Nobody Knows,['Kevin Sharp'],206427.0,0.277,0.657,0.463,0.0,0.244,-9.968,0.0246,88.432,0.209,1,6,50,0,1996-09-24,lento,medium
Third Eye,['TOOL'],831440.0,0.00585,0.359,0.628,0.472,0.111,-9.685,0.0562,109.407,0.262,1,7,53,0,1996-09-17,moderato,long
Last Caress - C.I. Recording 1978,['Misfits'],117080.0,0.533,0.33,0.906,0.0208,0.15,-9.607,0.0513,91.186,0.418,1,0,54,0,1996-02-27,moderato,short
Flowers On the Wall,['The Statler Brothers'],138800.0,0.792,0.784,0.451,4.09E-5,0.115,-11.225,0.0723,100.303,0.78,0,8,55,0,1996-03-12,moderato,short
Mia,['Eddie Santiago'],283200.0,0.495,0.655,0.714,6.4E-6,0.0893,-6.996,0.0466,158.949,0.942,1,2,59,0,1996-02-19,presto,medium
Infinite,['Eminem'],251707.0,0.293,0.637,0.862,0.0,0.217,-4.343,0.191,82.019,0.573,0,10,56,1,1996-11-12,lento,medium
Wonda Why They Call U B____,['2Pac'],258467.0,0.0731,0.792,0.876,0.0,0.351,-2.856,0.228,101.277,0.457,0,4,55,1,1996-01-01,moderato,medium
Corrido De Olegario,"['Chalino Sanchez', 'Cornelio Reyna']",164943.0,0.69,0.395,0.607,0.0,0.0816,-6.409,0.0614,190.685,0.886,1,8,52,0,1996-04-02,presto,short
Da' Dip,['Freak Nasty'],237000.0,0.0079,0.953,0.428,0.0302,0.224,-17.199,0.298,131.737,0.723,1,8,51,1,1996-10-29,presto,medium
Fire Water Burn,['Bloodhound Gang'],291800.0,0.0682,0.687,0.565,0.599,0.101,-9.613,0.0316,97.084,0.613,1,7,60,1,1996-01-01,moderato,medium
Sí Quiero Volver,['Los Temerarios'],182453.0,0.0497,0.346,0.486,0.0,0.0521,-6.711,0.0296,202.391,0.438,1,2,53,0,1996-01-01,presto,medium
This Is Your Night,['Amber'],238160.0,0.0714,0.674,0.908,1.04E-4,0.121,-3.262,0.0325,127.99,0.861,0,9,53,0,1996-11-26,presto,medium
Float On - Single Version,['The Floaters'],255173.0,0.255,0.59,0.718,5.86E-6,0.111,-8.536,0.0275,96.552,0.868,1,7,52,0,1996-09-09,moderato,medium
Too Much,['Dave Matthews Band'],261627.0,0.00856,0.579,0.935,0.00434,0.0769,-5.552,0.0447,114.753,0.75,0,11,49,0,1996-04-30,moderato,medium
Obsession,['Animotion'],337267.0,0.00436,0.673,0.613,0.362,0.608,-11.997,0.0799,114.748,0.415,1,7,50,0,1996-01-01,moderato,long
"Got My Mind Made Up (ft. Dat Nigga Daz, Kurupt, Method Man, Redman)","['2Pac', 'Daz Dillinger', 'Method Man', 'Redman', 'Kurupt']",312640.0,0.0157,0.813,0.897,0.00106,0.0391,-4.592,0.264,93.029,0.863,0,6,55,1,1996-01-01,moderato,long
Ebrio De Amor,['Ezequiel Peña'],218440.0,0.709,0.577,0.313,0.0,0.14,-10.968,0.0385,96.922,0.422,1,4,54,0,1996-01-01,moderato,medium
Ya Playin' Yaself,['Jeru The Damaja'],226800.0,0.00666,0.858,0.767,0.0,0.0489,-8.645,0.302,91.522,0.753,1,7,56,1,1996-01-01,moderato,medium
Cosmic Girl - Remastered,['Jamiroquai'],244147.0,0.0261,0.633,0.921,0.00102,0.309,-7.719,0.0495,119.865,0.925,0,11,65,0,1996-09-09,moderato,medium
Shadowboxer,['Fiona Apple'],324267.0,0.265,0.298,0.52,0.0,0.165,-7.297,0.0303,74.131,0.223,0,2,52,0,1996-07-23,lento,long
