name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
On The Avenue,['Ronnie Foster'],374520.0,0.336,0.587,0.667,0.83,0.101,-11.156,0.0481,98.725,0.534,0,11,34,0,1974-01-01,moderato,long
Turn To Stone,['Joe Walsh'],231373.0,0.09,0.364,0.528,7.42E-4,0.457,-14.828,0.0362,135.255,0.309,0,2,34,0,1974-12-14,presto,medium
Tonada De Luna Llena,['Simón Díaz'],187267.0,0.951,0.521,0.153,0.0101,0.0941,-21.151,0.048,132.751,0.391,0,4,42,0,1974-12-22,presto,medium
Back Off Boogaloo,['Ringo Starr'],202427.0,0.127,0.402,0.824,1.22E-5,0.0623,-10.258,0.0411,176.431,0.897,1,4,37,0,1974-01-01,presto,medium
Hit Or Miss,['Bo Diddley'],223760.0,0.326,0.705,0.618,0.00119,0.102,-7.352,0.0682,100.311,0.785,1,7,38,0,1974-01-01,moderato,medium
Magnólia,['Jorge Ben Jor'],194227.0,0.599,0.729,0.385,0.0,0.263,-13.961,0.0578,120.797,0.929,1,2,46,0,1974-01-01,presto,medium
Nothin' To Lose,['KISS'],207227.0,0.221,0.565,0.851,5.41E-4,0.0926,-6.301,0.0602,130.782,0.847,1,1,38,0,1974-02-18,presto,medium
Hey Julia,['Robert Palmer'],144939.0,0.423,0.787,0.421,0.0,0.102,-14.056,0.198,94.527,0.861,1,7,32,0,1974-01-01,moderato,short
Losalamitoslatinfunklovesong,['Gene Harris'],190107.0,0.226,0.77,0.709,0.0148,0.0583,-12.005,0.0558,134.948,0.907,0,5,37,0,1974-11-21,presto,medium
Nimrodel / The Procession / The White Rider,['Camel'],558400.0,0.037,0.204,0.499,0.777,0.376,-14.393,0.043,80.213,0.128,0,5,41,0,1974-01-04,lento,long
Sweet Thing - 2016 Remaster,['David Bowie'],219120.0,0.718,0.358,0.399,6.89E-4,0.438,-15.799,0.0383,119.922,0.287,1,7,39,0,1974-05-24,moderato,medium
Crime Of The Century,['Supertramp'],332992.0,0.0978,0.404,0.417,0.249,0.0663,-14.33,0.0468,123.44,0.233,0,9,43,0,1974-09-01,presto,long
