name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
A Night In Tunisia (Afternoon) - Live From Village Vanguard/1957/The Rudy Van Gelder Edition,['Sonny Rollins'],496320.0,0.48,0.598,0.783,0.0416,0.94,-9.516,0.37,113.41,0.839,1,7,12,0,1957-01-01,moderato,long
Little Messenger,['Curtis Fuller'],376293.0,0.846,0.4,0.713,0.0144,0.139,-7.975,0.0339,141.08,0.748,0,5,12,0,1957-01-01,presto,long
Jinhen Naaz Hai Hind Par,['Mohammed Rafi'],363253.0,0.83,0.348,0.315,0.0,0.121,-7.751,0.0493,72.949,0.338,1,1,10,0,1957-12-30,lento,long
Love Walked In,['Sonny Clark'],350893.0,0.96,0.572,0.174,0.019,0.11,-18.941,0.0396,75.772,0.287,1,8,12,0,1957-01-01,lento,long
The Lamp Is Low (with Paul Weston & His Music From Hollywood),"['Doris Day', 'Paul Weston And His Orchestra']",212440.0,0.922,0.2,0.137,0.0264,0.238,-16.887,0.0337,90.327,0.072,1,0,14,0,1957-11-11,moderato,medium
Gaza Strip,['Lee Morgan'],236733.0,0.721,0.513,0.653,0.226,0.0971,-7.428,0.0433,111.861,0.71,0,2,10,0,1957-04-01,moderato,medium
"The Art of the Fugue, BWV 1080: Contrapunctus IV - Excerpts","['Johann Sebastian Bach', 'Glenn Gould']",201867.0,0.834,0.265,0.257,3.63E-4,0.19,-14.351,0.0307,85.881,0.433,0,2,14,0,1957-01-01,lento,medium
Carnival of the Animals: 5. The Elephant. Allegretto pomposo,"['Camille Saint-Saëns', 'Eugene Ormandy', 'Philadelphia Orchestra']",84360.0,0.923,0.45,0.034,0.941,0.114,-27.142,0.0397,121.538,0.386,1,3,19,0,1957-01-01,presto,short
For Miles And Miles,"['Chet Baker', 'Art Pepper']",387160.0,0.426,0.69,0.172,2.06E-4,0.191,-16.331,0.0922,124.373,0.481,0,7,14,0,1957-01-01,presto,long
Bambuti (Pygmy) Song,['Bambuti pygmies'],69480.0,0.995,0.338,0.0541,3.58E-4,0.344,-20.815,0.0517,86.403,0.595,1,3,12,0,1957-01-01,lento,short
Three Handed Woman,"['Louis Prima', 'Sam Butera & The Witnesses']",163667.0,0.431,0.569,0.436,0.0,0.152,-12.167,0.11,112.907,0.894,1,1,12,0,1957-05-01,moderato,short
