name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
Singende Bataillone 1. Teil,['Carl Woitschach'],158648.0,0.995,0.708,0.195,0.563,0.151,-12.428,0.0506,118.469,0.779,1,10,0,0,1928-01-01,moderato,short
"Fantasiestücke, Op. 111: Più tosto lento","['Robert Schumann', 'Vladimir Horowitz']",282133.0,0.994,0.379,0.0135,0.901,0.0763,-28.454,0.0462,83.972,0.0767,1,8,0,0,1928-01-01,lento,medium
Chapter 1.18 - Zamek kaniowski,['Seweryn Goszczyński'],104300.0,0.604,0.749,0.22,0.0,0.119,-19.924,0.929,107.177,0.88,0,5,0,0,1928-01-01,moderato,short
Bebamos Juntos - Instrumental (Remasterizado),['Francisco Canaro'],180760.0,0.995,0.781,0.13,0.887,0.111,-14.734,0.0926,108.003,0.72,0,1,0,0,1928-09-25,moderato,medium
"Polonaise-Fantaisie in A-Flat Major, Op. 61","['Frédéric Chopin', 'Vladimir Horowitz']",687733.0,0.99,0.21,0.204,0.908,0.098,-16.829,0.0424,62.149,0.0693,1,11,1,0,1928-01-01,lento,long
Scherzo a capriccio: Presto,"['Felix Mendelssohn', 'Vladimir Horowitz']",352600.0,0.995,0.424,0.12,0.911,0.0915,-19.242,0.0593,63.521,0.266,0,6,0,0,1928-01-01,lento,long
"Valse oubliée No. 1 in F-Sharp Major, S. 215/1","['Franz Liszt', 'Vladimir Horowitz']",136627.0,0.956,0.444,0.197,0.435,0.0744,-17.226,0.04,80.495,0.305,1,11,0,0,1928-01-01,lento,short
Per aspera ad astra,['Carl Woitschach'],153967.0,0.988,0.555,0.421,0.836,0.105,-9.878,0.0474,123.31,0.857,1,1,0,0,1928-01-01,presto,short
Moneda Corriente - Remasterizado,"['Francisco Canaro', 'Charlo']",162493.0,0.995,0.683,0.207,0.206,0.337,-9.801,0.127,119.833,0.493,0,9,0,0,1928-10-03,moderato,short
Chapter 1.3 - Zamek kaniowski,['Seweryn Goszczyński'],111600.0,0.846,0.674,0.205,0.0,0.17,-20.119,0.954,81.249,0.759,1,9,0,0,1928-01-01,lento,short
"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato - Meno mosso","['Sergei Rachmaninoff', 'Vladimir Horowitz']",590293.0,0.994,0.376,0.0719,0.883,0.196,-21.849,0.0352,141.39,0.0393,0,10,0,0,1928-01-01,presto,long
"Piano Sonata No. 2, Op. 35: IV. Finale. Presto","['Frédéric Chopin', 'Vladimir Horowitz']",85133.0,0.989,0.17,0.0823,0.911,0.0962,-30.107,0.0317,85.989,0.346,0,10,1,0,1928-01-01,lento,short
"Piano Sonata in E-Flat Minor, Op. 26: III. Adagio mesto","['Samuel Barber', 'Vladimir Horowitz']",338333.0,0.99,0.359,0.0435,0.899,0.109,-20.858,0.0424,96.645,0.042,1,7,0,0,1928-01-01,moderato,long
"Nachtstücke, Op. 23: No. 4 in F","['Robert Schumann', 'Vladimir Horowitz']",167333.0,0.992,0.311,0.0107,0.883,0.0954,-35.648,0.0556,78.98,0.216,1,5,0,0,1928-01-01,lento,short
"Symphony No. 5 in C Minor, Op. 67: 3. Allegro","['Ludwig van Beethoven', 'Staatskapelle Berlin', 'Richard Strauss']",276563.0,0.977,0.335,0.105,0.84,0.231,-16.049,0.0716,80.204,0.406,0,5,0,0,1928-01-01,lento,medium
A Shropshire Lad: Is My Team Ploughing?,"['George Butterworth', 'John Cameron']",184840.0,0.991,0.319,0.00593,6.35E-5,0.0691,-25.789,0.051,79.831,0.169,0,7,0,0,1928-01-01,lento,medium
"Sonata No. 3, Op. 23 in F-Sharp Minor: IV. Presto con fuoco; Meno mosso","['Alexander Scriabin', 'Vladimir Horowitz']",326067.0,0.996,0.319,0.155,0.917,0.126,-18.728,0.036,66.947,0.0488,1,4,0,0,1928-01-01,lento,long
Invocación al Tango - Remasterizado,"['Francisco Canaro', 'Luis Scalon']",167107.0,0.994,0.787,0.156,0.659,0.11,-14.056,0.157,117.167,0.849,0,4,0,0,1928-09-16,moderato,short
Where the Bee Sucks,"['Thomas Arne', 'John Heddle Nash']",122533.0,0.993,0.569,0.15,0.0015,0.106,-15.238,0.0474,76.93,0.596,1,5,0,0,1928-01-01,lento,short
Tendrás Que Llorar Conmigo - Instrumental (Remasterizado),['Francisco Canaro'],173707.0,0.992,0.763,0.132,0.0693,0.112,-13.002,0.0886,111.679,0.832,1,4,0,0,1928-09-17,moderato,short
"Etude in A-Flat, Op. 72, No. 11","['Moritz Moszkowski', 'Vladimir Horowitz']",80800.0,0.993,0.352,0.132,0.966,0.425,-23.202,0.0381,74.737,0.661,1,8,0,0,1928-01-01,lento,short
Quisiste Cachar un Gil - Instrumental (Remasterizado),['Francisco Canaro'],176000.0,0.99,0.833,0.132,5.68E-4,0.0957,-11.131,0.295,121.779,0.568,1,1,0,0,1928-09-20,presto,short
"Andante spianato in E-Flat Major, Op. 22","['Frédéric Chopin', 'Vladimir Horowitz']",245440.0,0.975,0.277,0.09,0.949,0.125,-26.188,0.0316,105.031,0.168,1,7,0,0,1928-01-01,moderato,medium
La Recova - Instrumental (Remasterizado),['Francisco Canaro'],169720.0,0.99,0.811,0.175,0.841,0.13,-13.639,0.0712,115.212,0.933,1,9,0,0,1928-09-16,moderato,short
El Espejito - Remasterizado,"['Francisco Canaro', 'Charlo']",166000.0,0.988,0.699,0.221,0.0725,0.142,-12.228,0.115,117.899,0.782,1,11,0,0,1928-09-20,moderato,short
It Was a Lover and His Lass,"['Roger Quilter', 'John Heddle Nash']",152600.0,0.988,0.54,0.102,2.13E-6,0.0819,-18.555,0.0792,73.516,0.433,1,4,0,0,1928-01-01,lento,short
Kız Saçların,['Hafız Yaşar'],162197.0,0.99,0.569,0.327,0.947,0.134,-13.622,0.0499,82.742,0.562,1,7,0,0,1928-05-07,lento,short
"Scherzo No. 1 in B Minor, Op. 20","['Frédéric Chopin', 'Vladimir Horowitz']",505920.0,0.991,0.38,0.119,0.89,0.0601,-21.255,0.0389,132.005,0.18,1,11,0,0,1928-01-01,presto,long
"Sonata, Op. 14, No. 3 in F Minor: I. Allegro agitato","['Muzio Clementi', 'Vladimir Horowitz']",251960.0,0.993,0.28,0.0436,0.885,0.0865,-25.958,0.0393,81.076,0.182,1,8,0,0,1928-01-01,lento,medium
Chapter 4.12 - Zamek kaniowski,['Seweryn Goszczyński'],102200.0,0.686,0.715,0.22,0.0,0.206,-19.788,0.948,113.214,0.545,1,2,0,0,1928-01-01,moderato,short
Venite Conmigo - Remasterizado,"['Francisco Canaro', 'Charlo']",177507.0,0.995,0.767,0.23,0.605,0.133,-10.728,0.199,119.985,0.868,1,2,0,0,1928-09-25,moderato,short
Por una Mujer - Remasterizado,['Ignacio Corsini'],159107.0,0.995,0.531,0.124,0.0168,0.118,-23.243,0.0711,101.902,0.555,1,2,0,0,1928-05-14,moderato,short
Loving You,['Shungi Music Crew'],372962.0,0.422,0.662,0.606,0.915,0.0594,-7.026,0.0376,111.999,0.645,0,7,0,0,1928-08-20,moderato,long
A Shropshire Lad: Oh Fair Enough are Sky and Plain,"['George Butterworth', 'John Cameron']",173293.0,0.987,0.238,0.0324,9.86E-4,0.112,-24.361,0.0541,172.321,0.0379,0,7,0,0,1928-01-01,presto,short
Abuelita - Remasterizado,['Ignacio Corsini'],151840.0,0.983,0.668,0.261,0.0232,0.122,-16.91,0.101,120.553,0.702,0,7,0,0,1928-05-14,presto,short
La Noce À Rebecca,['Perchicot'],140267.0,0.989,0.769,0.442,1.27E-6,0.167,-12.697,0.273,132.125,0.934,0,2,0,0,1928-01-01,presto,short
Por Esta Cruz - Remasterizado,"['Francisco Canaro', 'Charlo']",166493.0,0.994,0.801,0.113,0.206,0.129,-12.147,0.0837,117.063,0.672,1,4,0,0,1928-09-20,moderato,short
Che Bouhier - Instrumental (Remasterizado),['Francisco Canaro'],200213.0,0.994,0.854,0.151,0.371,0.159,-11.163,0.137,110.331,0.781,0,4,0,0,1928-09-16,moderato,medium
Chapter 4.10 - Zamek kaniowski,['Seweryn Goszczyński'],95900.0,0.708,0.677,0.204,0.0,0.104,-20.024,0.957,84.826,0.667,0,1,0,0,1928-01-01,lento,short
Chapter 2.11 - Zamek kaniowski,['Seweryn Goszczyński'],139100.0,0.777,0.738,0.282,0.0,0.29,-16.556,0.952,140.612,0.703,1,1,0,0,1928-01-01,presto,short
"Nocturne in F-Sharp Major, Op. 15, No. 2","['Frédéric Chopin', 'Vladimir Horowitz']",215267.0,0.977,0.305,0.083,0.697,0.231,-20.895,0.0331,80.622,0.0479,1,6,1,0,1928-01-01,lento,medium
